City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Hermanus,ZA,62.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
15,San Ramon,US,59.38,haze,37.7799,-121.978,San Ramon Marriott
17,Nanortalik,GL,40.08,moderate rain,60.1432,-45.2371,Hotel Kap Farvel
18,Half Moon Bay,US,61.61,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
19,Chuy,UY,63.63,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
23,Mataura,NZ,56.93,light rain,-46.1927,168.8643,Ellie's Villa
25,Ushuaia,AR,42.46,few clouds,-54.8,-68.3,Albatros Hotel
32,Talara,PE,65.43,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
37,Qinhuangdao,CN,42.89,clear sky,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
40,Port Alfred,ZA,63.54,overcast clouds,-33.5906,26.891,The Halyards Hotel
42,Cidreira,BR,69.31,overcast clouds,-30.1811,-50.2056,Hotel Castelo
43,Laguna,US,59.5,haze,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
47,Mount Gambier,AU,57.11,overcast clouds,-37.8333,140.7667,The Commodore
51,Bredasdorp,ZA,62.28,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
52,Ponta Do Sol,PT,63.72,overcast clouds,32.6667,-17.1,Hotel do Campo
53,Qena,EG,57.31,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
61,Newport,GB,46.85,overcast clouds,51.5877,-2.9984,ibis budget Newport
63,Bluff,NZ,49.87,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
65,Mar Del Plata,AR,64.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
67,Kifri,IQ,61.48,overcast clouds,34.6959,44.9661,Layla jasm
68,Hobart,AU,62.06,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
