City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,72.81,96,90,5.75,moderate rain
1,Atuona,PF,-9.8,-139.0333,78.57,79,7,17.98,clear sky
2,Tasiilaq,GL,65.6145,-37.6368,26.76,56,100,8.75,overcast clouds
3,Qaanaaq,GL,77.484,-69.3632,1.54,77,100,5.99,overcast clouds
4,Aklavik,CA,68.2191,-135.0107,-12.17,97,100,14.38,light snow
5,Punta Arenas,CL,-53.15,-70.9167,44.71,65,20,14.97,few clouds
6,Salalah,OM,17.0151,54.0924,75.29,46,0,4.61,clear sky
7,Cayenne,GF,4.9333,-52.3333,81.09,86,0,1.14,clear sky
8,Tevaitoa,PF,-16.7833,-151.5,82.08,75,9,16.22,clear sky
9,Busselton,AU,-33.65,115.3333,77.7,42,54,6.35,broken clouds
10,Hermanus,ZA,-34.4187,19.2345,62.8,78,4,27.47,clear sky
11,Araouane,ML,18.9048,-3.5265,75.09,34,32,7.14,scattered clouds
12,Tiksi,RU,71.6872,128.8694,2.39,80,100,5.57,overcast clouds
13,Mahebourg,MU,-20.4081,57.7,73.69,88,40,3.44,scattered clouds
14,Cabo San Lucas,MX,22.8909,-109.9124,77.61,76,90,3.0,overcast clouds
15,San Ramon,US,37.7799,-121.978,59.38,75,1,5.75,haze
16,Narsaq,GL,60.9167,-46.05,35.82,99,100,5.7,moderate rain
17,Nanortalik,GL,60.1432,-45.2371,40.08,98,100,12.84,moderate rain
18,Half Moon Bay,US,37.4636,-122.4286,61.61,65,1,0.0,clear sky
19,Chuy,UY,-33.6971,-53.4616,63.63,97,100,9.4,light rain
20,Acapulco,MX,16.8634,-99.8901,78.13,82,1,5.01,clear sky
21,Clyde River,CA,70.4692,-68.5914,-4.05,99,99,3.2,overcast clouds
22,Nardaran,AZ,40.5561,50.0056,38.84,81,0,4.61,clear sky
23,Mataura,NZ,-46.1927,168.8643,56.93,77,100,6.67,light rain
24,Bengkulu,ID,-3.8004,102.2655,84.02,66,62,3.83,broken clouds
25,Ushuaia,AR,-54.8,-68.3,42.46,65,20,25.32,few clouds
26,Vikhorevka,RU,56.1201,101.1636,31.59,87,100,4.97,overcast clouds
27,Kapaa,US,22.0752,-159.319,84.18,72,20,1.99,light rain
28,Barrow,US,71.2906,-156.7887,-9.38,70,40,11.5,haze
29,Honningsvag,NO,70.9821,25.9704,26.19,57,100,10.16,overcast clouds
30,Norman Wells,CA,65.282,-126.8329,-16.56,69,90,9.22,light snow
31,Akdepe,TM,42.0551,59.3788,30.29,84,5,7.2,clear sky
32,Talara,PE,-4.5772,-81.2719,65.43,90,100,11.03,overcast clouds
33,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,75,17.27,broken clouds
34,Kruisfontein,ZA,-34.0033,24.7314,61.88,81,95,19.95,overcast clouds
35,Ilulissat,GL,69.2167,-51.1,24.82,54,20,14.97,few clouds
36,Makinsk,KZ,52.6292,70.4169,6.64,88,92,12.41,overcast clouds
